2025-01-28 06:56:28 status unpacked libseccomp2:amd64 2.5.4-1+deb12u1
2025-01-28 06:56:28 install libselinux1:amd64 <none> 3.4-1+b6
2025-01-28 06:56:28 status half-installed libselinux1:amd64 3.4-1+b6
2025-01-28 06:56:28 status unpacked libselinux1:amd64 3.4-1+b6
2025-01-28 06:56:28 install libsemanage-common:all <none> 3.4-1
2025-01-28 06:56:28 status half-installed libsemanage-common:all 3.4-1
2025-01-28 06:56:28 status unpacked libsemanage-common:all 3.4-1
2025-01-28 06:56:28 install libsemanage2:amd64 <none> 3.4-1+b5
2025-01-28 06:56:28 status half-installed libsemanage2:amd64 3.4-1+b5
2025-01-28 06:56:28 status unpacked libsemanage2:amd64 3.4-1+b5
2025-01-28 06:56:28 install libsepol2:amd64 <none> 3.4-2.1
2025-01-28 06:56:28 status half-installed libsepol2:amd64 3.4-2.1
2025-01-28 06:56:28 status unpacked libsepol2:amd64 3.4-2.1
2025-01-28 06:56:28 install libsmartcols1:amd64 <none> 2.38.1-5+deb12u3
2025-01-28 06:56:28 status half-installed libsmartcols1:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:28 status unpacked libsmartcols1:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:28 install libss2:amd64 <none> 1.47.0-2
2025-01-28 06:56:28 status half-installed libss2:amd64 1.47.0-2
2025-01-28 06:56:28 status unpacked libss2:amd64 1.47.0-2
2025-01-28 06:56:28 install libstdc++6:amd64 <none> 12.2.0-14
2025-01-28 06:56:28 status half-installed libstdc++6:amd64 12.2.0-14
2025-01-28 06:56:28 status unpacked libstdc++6:amd64 12.2.0-14
2025-01-28 06:56:28 install libsystemd0:amd64 <none> 252.33-1~deb12u1
2025-01-28 06:56:28 status half-installed libsystemd0:amd64 252.33-1~deb12u1
2025-01-28 06:56:28 status unpacked libsystemd0:amd64 252.33-1~deb12u1
2025-01-28 06:56:28 install libtasn1-6:amd64 <none> 4.19.0-2
2025-01-28 06:56:28 status half-installed libtasn1-6:amd64 4.19.0-2
2025-01-28 06:56:28 status unpacked libtasn1-6:amd64 4.19.0-2
2025-01-28 06:56:28 install libtinfo6:amd64 <none> 6.4-4
2025-01-28 06:56:28 status half-installed libtinfo6:amd64 6.4-4
2025-01-28 06:56:28 status unpacked libtinfo6:amd64 6.4-4
2025-01-28 06:56:28 install libudev1:amd64 <none> 252.33-1~deb12u1
2025-01-28 06:56:28 status half-installed libudev1:amd64 252.33-1~deb12u1
2025-01-28 06:56:28 status unpacked libudev1:amd64 252.33-1~deb12u1
2025-01-28 06:56:29 install libunistring2:amd64 <none> 1.0-2
2025-01-28 06:56:29 status half-installed libunistring2:amd64 1.0-2
2025-01-28 06:56:29 status unpacked libunistring2:amd64 1.0-2
2025-01-28 06:56:29 install libuuid1:amd64 <none> 2.38.1-5+deb12u3
2025-01-28 06:56:29 status half-installed libuuid1:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:29 status unpacked libuuid1:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:29 install libxxhash0:amd64 <none> 0.8.1-1
2025-01-28 06:56:29 status half-installed libxxhash0:amd64 0.8.1-1
2025-01-28 06:56:29 status unpacked libxxhash0:amd64 0.8.1-1
2025-01-28 06:56:29 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
